"cond-mat/9211001","Fabian Essler","Fabian H.L. Essler, Vladimir E. Korepin, Kareljan Schoutens","Exact Solution of an Electronic Model of Superconductivity in 1+1
  Dimensions","37 pages, using the jytex macro-package","Int. J. Mod. Phys. B8, 3205 (1994)","10.1142/S0217979294001354","ITP-SB-92-57","cond-mat",,"  We study a superconducting integrable model of strongly correlated electrons
in 1+1 dimensions. We construct all six Bethe Ans\""atze for the model and give
explicit expressions for lowest conservation laws. We also prove a lowest
weight theorem for the Bethe-Ansatz states.
","[{""version"":""v1"",""created"":""Tue, 3 Nov 1992 08:14:17 GMT""}]","2015-06-25"
"gr-qc/9211001",,"G. Grignani and G. Nardelli","Chern--Simons Gravity from 3+1 Dimensional Gravity","9 pages (TeX manuscript)","Phys.Lett. B300 (1993) 38-43","10.1016/0370-2693(93)90745-4","DFUPG-59-92, UTF-272-92","gr-qc",,"  In the context of a Poincar\'e gauge theoretical formulation, pure gravity in
3+1-dimensions is dimensionally reduced to gravity in 2+1-dimensions with or
without cosmological constant $\Lambda$. The dimensional reductions are
consistent with the gauge symmetries, mapping ISO(3, 1) gauge transformations
into ISO(2,1) ones. One of the reductions leads to Chern-Simons-Witten gravity.
The solutions of 2+1-gravity with $\Lambda\le 0$ (in particular the black-hole
solution recently found by Banados, Teitelboim and Zanelli) and those of
1+1-dimensional Liouville gravity, are thus mapped into 3+1-dimensional vacuum
solutions.
","[{""version"":""v1"",""created"":""Tue, 3 Nov 1992 10:20:22 GMT""},{""version"":""v2"",""created"":""Mon, 9 Nov 1992 09:06:18 GMT""}]","2009-10-22"
"hep-lat/9211001","Peter Stephenson","UKQCD collaboration (presented by P.W. Stephenson)","Pure-gauge SU(2) on large lattices","talk at Lattice '92, Amsterdam, 4 pages, 1 figure (included as LaTeX
  picture), requires espcrc2.sty, Liverpool preprint LTH 290","Nucl. Phys. Proc. Suppl. 30 (1993) 525","10.1016/0920-5632(93)90265-8",,"hep-lat",,"  We have calculated the $q\bar q$ potential over a wide range of lattice
separations on a $48^3\cdot56$ lattice at $\beta = 2.85$. We are able to
investigate both long-range and (by correcting for the effects of lack of
rotational invariance) short-range potentials. From the former we estimate the
string tension and from the latter we are able to investigate asymptotic
scaling. Fitting to this enables us to give an estimate for the
$\Lambda$-parameter of pure-gauge SU(2).
","[{""version"":""v1"",""created"":""Mon, 2 Nov 1992 16:06:00 GMT""}]","2019-08-21"
"hep-lat/9211002","Chris Michael","UKQCD Collaboration (presented by Chris Michael)","The Running Coupling from SU(3) Potentials","4pp, LTH289","Nucl.Phys.Proc.Suppl.30:509-512,1993","10.1016/0920-5632(93)90261-4",,"hep-lat",,"  From an accurate determination of the inter-quark potential, one can study
the running coupling constant for a range of $R$-values and hence estimate the
scale $\Lambda_{\overline{\rm MS}}$. Detailed results are presented for $SU(3)$
pure gauge theory from a study of a $36^4$ lattice at $\beta=6.5$. (to appear
in Proceedings of Lattice 1992 - Amsterdam)
","[{""version"":""v1"",""created"":""Mon, 2 Nov 1992 17:08:50 GMT""}]","2019-08-17"
"hep-lat/9211003","Urs M. Heller","K. M. Bitar, et.al","Hadron Spectroscopy with Dynamical Wilson Fermions at beta=5.3","to appear in the proceedings of ""Lattice '92"". 4 pages with 4 post-
  script figures included. LaTeX file. Needed macro ""espcrc2.sty"" can be
  obtained from the hep-lat macros. FSU-SCRI-92-152, IUHET--234","Nucl.Phys.Proc.Suppl. 30 (1993) 401-404","10.1016/0920-5632(93)90237-Z",,"hep-lat",,"  We present results from simulations of lattice QCD using two flavors of
dynamical Wilson fermions at a lattice coupling $\beta=5.3$ on $16^3 \times 32$
lattices at two hopping parameters, $\kappa=0.1670$ and $0.1675$, leading to
$m_\pi \approx 0.44$ and $0.33$ respectively. We show spectroscopy for S-wave
hadrons and compare our results to other recent simulations with dynamical
Wilson fermions. (Complete postscript file can be obtained by anonymous ftp
from ftp.scri.fsu.edu as file ""lat92.ps"" from directory ""pub/heller"".)
","[{""version"":""v1"",""created"":""Mon, 2 Nov 1992 21:02:40 GMT""}]","2009-10-22"
"hep-lat/9211004",,"Sourendu Gupta","The Degrees of Freedom in Hot Quenched QCD","3 pages, HLRZ 92-74","Nucl.Phys.Proc.Suppl.30:351-353,1993","10.1016/0920-5632(93)90225-U",,"hep-lat hep-ph nucl-th",,"  In quenched QCD, on lattices with $\nt=4$, the absence of a pole in the
pseudoscalar meson channel for $T>T_c$ is demonstrated. A set of effective
4-fermi couplings is extracted. It is observed that this coupling is small in
the vector channel for all $T>T_c$, but not in the pseudoscalar channel. The
temperature dependence of hadronic parameters below \tc{} is found to be small.
NOTE: Latex source, no figures, needs espcrc2.sty from hep-lat macros.
","[{""version"":""v1"",""created"":""Mon, 2 Nov 1992 21:38:02 GMT""}]","2010-11-01"
"hep-lat/9211005","Stephen Sharpe","Stephen Sharpe","Problems with the Quenched Approximation in the Chiral Limit","(talk given at Lattice '92), 4 pages latex, 3 postscript figures,
  uses espcr2.sty and psfig.tex (all included) UW/PT-92-20","Nucl. Phys. Proc. Suppl. 30 (1993) 213","10.1016/0920-5632(93)90192-9",,"hep-lat hep-ph",,"  In the quenched approximation, loops of the light singlet meson (the $\eta'$)
give rise to a type of chiral logarithm absent in full QCD. These logarithms
are singular in the chiral limit throwing doubt upon the utility of the
quenched approximation. In previous work, I summed a class of diagrams, leading
to non-analytic power dependencies such as $\cond\propto
m_q^{-\delta/(1+\delta)}$. I suggested, however, that these peculiar results
could be redefined away. Here I give an alternative derivation of the results,
based on the renormalization group, and argue that they cannot be redefined
away. I discuss the evidence (or lack thereof) for such effects in numerical
data.
","[{""version"":""v1"",""created"":""Mon, 2 Nov 1992 23:22:01 GMT""}]","2009-10-22"
"hep-ph/9211201","Leszek Roszkowski","Leszek Roszkowski","On the COBE Discovery - for Pedestrians","23 pages of text in LaTeX, plus one figure in Postscript format
  attached at the end of the tex file","Acta Phys.Polon.B23:1077-1096,1992",,"University of Michigan preprint UM-TH-92-26 (October 1992)","hep-ph astro-ph",,"  A recent discovery by the COBE satellite is presented, and its importance
discussed in the context of the physics of the early Universe. The various
implications for our understanding of the structure of the Universe are
outlined.
","[{""version"":""v1"",""created"":""Mon, 2 Nov 1992 22:30:44 GMT""}]","2010-12-09"
"hep-ph/9211203",,"Herbert Dreiner","Bell's Inequality and $\tau$-Physics at LEP","7 pages, no figures, Oxford Preprint OUTP-92-27P",,,,"hep-ph",,"  In this talk given at the TAU92 Workshop, Columbus, OH, Sept. 92, we
summarize results presented in more detail in a recent paper by S. Abel, M.
Dittmar and the author where we gave a general proof that Bell's inequality can
not be tested at a collider experiment. In particular, a measurement of
correlated tau-spins at LEP does not constitute a test of local realistic
theories via Bell's inequality. The central point of the argument is that such
tests, where the spins of two particles are inferred from a scattering
distribution, can always be described by a local hidden variable theory. In
response to questions at the workshop we go beyond the paper and show that an
old experiment involving the measurement of the correlated spins of the two
photons emitted in positronium decay via Compton-scattering is also not a
viable test of Bell's inequality.
","[{""version"":""v1"",""created"":""Mon, 2 Nov 1992 17:43:00 GMT""}]","2007-05-23"
"hep-ph/9211204",,"Jon Butterworth and Herbert Dreiner","R-Parity Violation at HERA","23 pages, 11 figures upon request, Oxford Preprint, OUNP-92-13","Nucl.Phys. B397 (1993) 3-34","10.1016/0550-3213(93)90334-L",,"hep-ph",,"  We summarize the signals at HERA in supersymmetric models with explicitly
broken R-parity. As the most promising case, we consider in detail the resonant
production of single squarks through an operator $L_1Q_i{ \bar D}_j$, a
production process analogous to that for leptoquarks. However, the dominant
decay of the squark to a quark and a photino leads to a very different
experimental signature. We examine in particular the case where the photino
decays to a positron and two quarks. Using a detailed Monte-Carlo procedure we
obtain a discovery limit in the squark mass---Yukawa coupling plane. HERA can
discover a squark for a mass as large as $270 \gev$ and for an R-parity
violating Yukawa coupling as small as $5.8 \times 10^{-3}$.
","[{""version"":""v1"",""created"":""Mon, 2 Nov 1992 17:49:00 GMT""}]","2009-10-22"
"hep-ph/9211205",,"Heinz K\""onig","QCD Corrections to the Light Higgs Boson Decay into a Charm- Anticharm
  or Bottom- Antibottom Pair within the Minimal Supersymmetric Model","7 pages, 3 figures - not included, Plain-Tex, OCIP/C-92-9","Phys.Rev.D47:4995-4997,1993","10.1103/PhysRevD.47.4995",,"hep-ph",,"  We present the results of the contributions to the decay rate of the lightest
Higgs particle into a charm-anticharm and bottom-antibottom pair within the
minimal supersymmetric standard model when scalar quarks and a gluino are taken
within the relevant loop diagrams. We show that in the case where the vacuum
expectation values of the Higgs particles obey the condition $v_1\ll v_2$\ the
scalar quarks and gluino change the decay rate by not more than a few per cent.
These small contributions make it difficult to distinguish the Higgs particle
of the standard model from the supersymmetric one.
","[{""version"":""v1"",""created"":""Mon, 2 Nov 1992 19:16:57 GMT""}]","2011-01-25"
